location,weekday,hour,Present,unoccupied_rate
"-37.794905845458956, 144.9712873309125",Monday,23,1.0,0.0
"-37.7949123189659, 144.97134759145723",Friday,20,1.0,0.0
"-37.79491926425749, 144.97141229186371",Tuesday,2,0.0,1.0
"-37.79493418293051, 144.97155131195115",Tuesday,1,0.0,1.0
"-37.79494701546585, 144.97167049003838",Friday,7,1.0,0.0
"-37.79495360391401, 144.97173134630543",Tuesday,1,1.0,0.0
"-37.79497966524963, 144.9719705034874",Thursday,4,1.0,0.0
"-37.794993762404346, 144.97209994853773",Tuesday,2,1.0,0.0
"-37.795019908030056, 144.97234003956544",Sunday,10,1.0,0.0
"-37.79502666258857, 144.97240204442983",Monday,5,1.0,0.0
"-37.795050730658254, 144.97261487811386",Sunday,0,1.0,0.0
"-37.79506182972317, 144.97271754964473",Saturday,4,1.0,0.0
"-37.79506794595409, 144.97277440018868",Monday,20,0.0,1.0
"-37.79508290762313, 144.9712217164565",Monday,10,1.0,0.0
"-37.79509907800954, 144.97137500175876",Tuesday,1,1.0,0.0
"-37.79511384563001, 144.97151325560708",Saturday,23,0.0,1.0
"-37.795172433212144, 144.97205152453165",Monday,7,1.0,0.0
"-37.79517932433332, 144.9721162023573",Tuesday,3,0.0,1.0
"-37.79518653207636, 144.9721837897584",Tuesday,2,0.0,1.0
"-37.79519993412775, 144.97230879673006",Monday,1,0.0,1.0
"-37.795206472874796, 144.97236828462442",Friday,12,1.0,0.0
"-37.79522276647609, 144.97252655504798",Monday,4,1.0,0.0
"-37.795229039525836, 144.97258333501773",Monday,20,0.0,1.0
"-37.79523903245119, 144.9726738449603",Tuesday,0,1.0,0.0
"-37.795245956927744, 144.9727365528309",Monday,23,0.0,1.0
"-37.79525835643487, 144.97284901920167",Tuesday,0,1.0,0.0
"-37.797278817028555, 144.9576354188943",Friday,9,1.0,0.0
"-37.79733033174037, 144.95762865154998",Sunday,0,1.0,0.0
"-37.79745524941144, 144.95761259978124",Friday,10,1.0,0.0
"-37.7975061237471, 144.9576060625771",Sunday,1,1.0,0.0
"-37.79756250415984, 144.95759881813447",Monday,0,1.0,0.0
"-37.79826928682944, 144.95295685806107",Sunday,12,0.0,1.0
"-37.798302647582034, 144.95299882858325",Sunday,8,1.0,0.0
"-37.798338082915045, 144.9530434331918",Sunday,11,0.0,1.0
"-37.79837334237603, 144.95308777517064",Thursday,7,1.0,0.0
"-37.79842653247071, 144.95315447010427",Sunday,13,0.0,1.0
"-37.79858840728779, 144.95212787634355",Sunday,10,0.0,1.0
"-37.798604286082465, 144.952107633023",Sunday,12,0.0,1.0
"-37.79861988549652, 144.95208766661227",Sunday,7,0.0,1.0
"-37.79863531246361, 144.9520677546155",Sunday,12,0.0,1.0
"-37.7986719862219, 144.95202177613626",Sunday,7,0.0,1.0
"-37.79868869830504, 144.9520004390641",Sunday,11,0.0,1.0
"-37.79870590145744, 144.9519784768766",Sunday,10,0.0,1.0
"-37.79872316190999, 144.95195644038654",Sunday,11,0.0,1.0
"-37.7987404814148, 144.95193432902607",Sunday,9,0.0,1.0
"-37.79875816331267, 144.9519117567694",Sunday,11,0.0,1.0
"-37.79879569377995, 144.9518634636058",Sunday,13,1.0,0.0
"-37.79881275931803, 144.9518417324066",Sunday,9,1.0,0.0
"-37.79882953834887, 144.9518203599381",Sunday,6,1.0,0.0
"-37.798846412573006, 144.95179886613525",Sunday,11,0.0,1.0
"-37.79886412173153, 144.95177630840527",Sunday,11,0.0,1.0
"-37.79888137458295, 144.95175433050696",Sunday,11,0.0,1.0
"-37.799039996284016, 144.9535118577159",Sunday,8,1.0,0.0
"-37.79907847371052, 144.95346300950945",Sunday,10,1.0,0.0
"-37.7991030676469, 144.95376423968452",Sunday,8,1.0,0.0
"-37.79914114010213, 144.95371587679307",Sunday,12,1.0,0.0
"-37.799179212075586, 144.9536675138399",Sunday,9,1.0,0.0
"-37.79921728447782, 144.95361915083737",Sunday,10,1.0,0.0
"-37.79940007686551, 144.95338675414695",Sunday,10,1.0,0.0
"-37.79943607419172, 144.95301381430374",Sunday,10,1.0,0.0
"-37.79943939118694, 144.9533367455665",Sunday,12,0.0,1.0
"-37.79947754891876, 144.95296156722577",Sunday,11,0.0,1.0
"-37.79947870372327, 144.95328673637817",Sunday,10,1.0,0.0
"-37.79951785385988, 144.95291071736813",Sunday,11,1.0,0.0
"-37.799557823891135, 144.95286028542097",Sunday,9,0.0,1.0
"-37.79959698052443, 144.95281077286185",Sunday,9,0.0,1.0
"-37.79963621066403, 144.9527609397844",Sunday,8,1.0,0.0
"-37.79967282681985, 144.9527143309441",Sunday,13,0.0,1.0
"-37.80032610874535, 144.9543494481229",Sunday,5,1.0,0.0
"-37.80034043806941, 144.955558553242",Sunday,11,1.0,0.0
"-37.800364728028576, 144.9543005665328",Sunday,13,1.0,0.0
"-37.800379988576154, 144.95560825525052",Sunday,12,0.0,1.0
"-37.80039565318408, 144.95392301588583",Sunday,12,0.0,1.0
"-37.80041957546746, 144.9556578780248",Saturday,21,1.0,0.0
"-37.80043568759527, 144.9538722936449",Sunday,10,1.0,0.0
"-37.80045916983484, 144.95570753474138",Tuesday,12,1.0,0.0
