lat,lon,date,hour,total_count,occupied_count,occupancy_rate
-37.84823801145724,144.98350619953172,2025-08-03,10,1,0,0.0
-37.84823013743106,144.98344162602382,2025-08-03,11,1,0,0.0
-37.84822192242257,144.98337424569297,2025-08-03,10,1,0,0.0
-37.84821789462343,144.9842483119175,2025-08-03,10,1,1,1.0
-37.848213706475214,144.9833068653546,2025-08-03,11,1,0,0.0
-37.84820999813061,144.9841837429665,2025-08-03,10,1,1,1.0
-37.84820549140019,144.98323948392172,2025-08-03,11,1,0,0.0
-37.84820175794165,144.98411636720144,2025-08-03,10,1,1,1.0
-37.84819727492619,144.98317210362953,2025-08-03,7,1,0,0.0
-37.84819351773405,144.9840489908854,2025-08-03,12,1,0,0.0
-37.84818905886445,144.98310472565072,2025-08-03,7,1,0,0.0
-37.84818561693816,144.98398442255075,2025-08-03,8,1,0,0.0
-37.84818084326359,144.98303734482448,2025-08-03,12,1,0,0.0
-37.8481726275857,144.9829699645832,2025-08-03,13,1,0,0.0
-37.84816644734338,144.9838276503496,2025-08-03,11,1,1,1.0
-37.848164411859926,144.98290258153128,2025-08-03,10,1,1,1.0
-37.848156195606734,144.98283520301555,2025-08-03,10,1,1,1.0
-37.84814671324986,144.98366630782294,2025-08-03,12,1,0,0.0
-37.84813881695018,144.98360173561724,2025-08-03,8,1,1,1.0
-37.84813057598156,144.98353435941885,2025-08-03,12,1,0,0.0
-37.848122335875544,144.98346698326205,2025-08-03,11,1,0,0.0
-37.848114094840405,144.98339960766566,2025-08-03,9,1,1,1.0
-37.84810585466788,144.98333223211085,2025-08-03,11,1,1,1.0
-37.8480978861111,144.98326708231346,2025-08-03,7,1,0,0.0
-37.84806759441919,144.9830194271252,2025-08-03,10,1,1,1.0
-37.848005552140705,144.98251218961013,2025-08-03,8,1,1,1.0
-37.84799803206987,144.98245070765785,2025-08-03,8,1,1,1.0
-37.8479902032593,144.98238670151437,2025-08-03,10,1,1,1.0
-37.84798233983153,144.982322414484,2024-05-01,9,1,0,0.0
-37.84797495698779,144.98226205564055,2025-05-22,0,1,1,1.0
-37.845182238406906,144.980502272184,2025-08-03,7,1,1,1.0
-37.84512649351755,144.98007959942652,2025-08-03,13,1,1,1.0
-37.84511636710482,144.98000281866575,2025-08-03,12,1,1,1.0
-37.84510688739228,144.97993111016365,2025-08-03,13,1,0,0.0
-37.84509792913018,144.9798633071556,2025-08-03,13,1,0,0.0
-37.84509734154828,144.98127874025266,2025-08-03,11,1,1,1.0
-37.84508897173963,144.97979550418984,2025-08-03,10,1,1,1.0
-37.8450884323001,144.9812097756882,2025-08-03,10,1,1,1.0
-37.845080010846196,144.97972770235316,2025-08-03,11,1,1,1.0
-37.84507948562708,144.98114053763254,2025-08-03,10,1,1,1.0
-37.84507112911485,144.97966044067113,2025-08-03,12,1,0,0.0
-37.84506224783489,144.9795932158124,2025-08-03,10,1,1,1.0
-37.844997217774335,144.98051625798664,2025-08-03,12,1,1,1.0
-37.84498810868717,144.98044675923143,2025-08-03,12,1,1,1.0
-37.84497907267978,144.9803778204718,2025-08-03,7,1,1,1.0
-37.844912885673864,144.979871702389,2025-08-03,13,1,1,1.0
-37.83514046286184,144.978286658525,2025-08-03,10,1,0,0.0
-37.83513199392105,144.9782221754694,2025-08-03,10,1,0,0.0
-37.83512361002232,144.97815746257618,2025-08-03,4,1,0,0.0
-37.83511519077207,144.9780932727994,2025-08-03,8,1,0,0.0
-37.835106826042704,144.9780293417556,2025-08-03,5,1,0,0.0
-37.835088562609464,144.97788919667062,2025-08-03,6,1,0,0.0
-37.83507967210864,144.97782129040343,2025-08-03,6,1,0,0.0
-37.835070725093786,144.97775262386838,2025-08-03,9,1,1,1.0
-37.83506178891197,144.977684171342,2025-08-03,9,1,0,0.0
-37.8350528670962,144.97761595715627,2025-08-03,11,1,0,0.0
-37.83504393491668,144.97754764617855,2025-08-03,8,1,1,1.0
-37.83503501311022,144.9774790612321,2025-08-02,23,1,0,0.0
-37.83502608038235,144.9774106116063,2025-08-02,23,1,0,0.0
-37.835017137731064,144.977342242958,2025-08-03,11,1,1,1.0
-37.835008253200314,144.9772741358588,2025-08-03,10,1,1,1.0
-37.83499937266276,144.97720592575808,2025-08-03,6,1,1,1.0
-37.83486300893875,144.9761619134213,2025-08-03,7,1,0,0.0
-37.834854216573255,144.97609452787162,2025-08-02,23,1,0,0.0
-37.834845488989664,144.9760272232985,2025-08-03,0,1,0,0.0
-37.83483670749995,144.97596042597542,2025-08-02,23,1,0,0.0
-37.834827867307936,144.9758927189407,2025-08-02,23,1,0,0.0
-37.834818949758684,144.97582428502477,2025-08-03,11,1,0,0.0
-37.834810008289466,144.9757558556579,2025-08-03,8,1,0,0.0
-37.83480108078649,144.97568757520253,2025-08-03,8,1,0,0.0
-37.83479219632807,144.97561933777553,2025-08-03,10,1,1,1.0
-37.8347833916472,144.97555188557072,2025-08-03,6,1,1,1.0
-37.8347745605505,144.97548425618373,2025-08-03,9,1,1,1.0
-37.83476561110477,144.9754161003376,2025-08-03,10,1,0,0.0
-37.83475669273402,144.9753474904979,2025-08-03,10,1,0,0.0
-37.823420177807634,144.9668770118377,2024-05-03,4,1,0,0.0
-37.82340795747085,144.9668141300637,2024-05-03,4,1,0,0.0
-37.8233950937474,144.96674793778274,2024-05-03,2,1,0,0.0
-37.82338223087829,144.9666817472417,2024-05-03,4,1,0,0.0
-37.82337001046017,144.96661886495528,2024-05-03,3,1,0,0.0
-37.82256066811671,144.95253120774296,2025-04-14,0,1,1,1.0
-37.82254360357769,144.95259033696777,2025-04-14,2,1,1,1.0
-37.82253375737386,144.95206800770742,2025-04-14,2,1,1,1.0
-37.82252556959601,144.95265277617113,2025-04-13,23,1,1,1.0
-37.822523929297894,144.9521005255906,2025-04-14,1,1,1,1.0
-37.82251358088368,144.95213374857926,2025-04-13,23,1,1,1.0
-37.822507063095294,144.95271680525497,2025-04-14,3,1,1,1.0
-37.82250487011976,144.95216400545675,2025-04-13,20,1,1,1.0
-37.82249515523104,144.9521959601043,2025-04-13,6,1,1,1.0
-37.82248932751718,144.95277816994894,2025-04-14,1,1,1,1.0
-37.8224857872471,144.95222778302724,2025-04-13,20,1,1,1.0
-37.82247677293327,144.9522590082511,2025-04-13,20,1,1,1.0
-37.822359539262656,144.9532235093248,2025-04-14,1,1,1,1.0
-37.82234105011817,144.953287549408,2025-04-14,3,1,0,0.0
-37.82232102797104,144.95335692206876,2025-04-13,20,1,1,1.0
-37.82230254427385,144.9534210170546,2025-04-14,2,1,1,1.0
-37.82225614441157,144.9535811474653,2025-04-14,3,1,1,1.0
-37.822237339850616,144.9536460664737,2025-04-14,3,1,1,1.0
-37.822214777183106,144.9537592878351,2025-04-14,2,1,0,0.0
-37.821984243691986,144.9477843093931,2024-12-08,8,1,0,0.0
-37.821829882537386,144.94361796600532,2025-08-02,7,1,1,1.0
-37.82178007096833,144.9434975049776,2025-08-02,20,1,0,0.0
-37.82177629600672,144.94359177259076,2025-08-02,5,1,0,0.0
-37.821727559119736,144.94347180726172,2025-08-02,2,1,0,0.0
-37.82167177709985,144.9434493349197,2025-07-28,0,1,1,1.0
-37.82161749770223,144.95048027833536,2025-06-17,12,1,0,0.0
-37.82156700773649,144.9504411166862,2025-06-17,11,1,1,1.0
-37.82141258331601,144.9511446603952,2025-06-16,9,1,0,0.0
-37.82136677476861,144.94474255947222,2025-08-02,19,1,0,0.0
-37.82136374841589,144.9511060088177,2025-06-17,11,1,0,0.0
-37.82135419837688,144.94467950111203,2025-08-02,21,1,1,1.0
-37.821353550626135,144.9439315523408,2025-08-03,9,1,0,0.0
-37.82134017031514,144.94461717474638,2025-08-02,7,1,0,0.0
-37.821337911719226,144.94386644680426,2025-08-03,6,1,1,1.0
-37.82132228737854,144.94380118949584,2025-08-03,10,1,0,0.0
-37.8213149139644,144.95106735784597,2025-06-16,7,1,1,1.0
-37.82130457508666,144.9437272277152,2025-08-03,7,1,1,1.0
-37.82129980300623,144.95069392977473,2024-10-07,19,1,0,0.0
-37.82128738080417,144.9436554576157,2025-08-03,9,1,0,0.0
-37.821280500924274,144.95181595117137,2025-06-17,12,1,0,0.0
-37.8212710393899,144.95103263283488,2025-06-17,7,1,0,0.0
-37.82127096755983,144.94358696032316,2025-08-02,23,1,0,0.0
-37.82125258974649,144.94351025120602,2025-08-03,9,1,1,1.0
-37.82123622769609,144.95178103850878,2025-06-17,11,1,1,1.0
-37.82122483507317,144.94700639265005,2024-12-24,16,1,0,0.0
-37.821218796797304,144.94410948110885,2025-08-02,12,1,0,0.0
-37.82120636805902,144.9470704593674,2024-12-25,1,1,1,1.0
-37.82120416557623,144.944048606006,2025-08-03,0,1,1,1.0
-37.82119052550672,144.9517446419496,2025-06-17,12,1,1,1.0
-37.82118881888181,144.94398454954523,2025-08-03,4,1,0,0.0
-37.82118791470868,144.9471344930125,2024-12-25,5,1,1,1.0
-37.82117319064948,144.94391931435464,2025-08-03,1,1,0,0.0
-37.82117092436043,144.94719468814355,2024-12-25,4,1,0,0.0
-37.8211673065982,144.9453672570661,2025-08-03,8,1,0,0.0
-37.821157561490935,144.94385407747703,2025-08-03,9,1,0,0.0
-37.82115283682411,144.94226462406135,2025-08-03,7,1,0,0.0
-37.8211446831276,144.95170852764213,2025-06-17,7,1,1,1.0
-37.82114193227716,144.9437888417761,2025-08-03,9,1,0,0.0
-37.821134790208106,144.9430166154661,2025-07-27,16,1,1,1.0
-37.821134546266755,144.94670364133466,2024-12-25,5,1,0,0.0
-37.82112630304781,144.94372360496828,2025-08-03,6,1,0,0.0
-37.82111916464275,144.94295135358377,2025-08-03,4,1,1,1.0
-37.82111067377315,144.94365836932468,2025-08-03,8,1,1,1.0
-37.821110639077105,144.94678607737143,2024-12-25,0,1,1,1.0
-37.821109160196784,144.9453518461956,2025-08-03,13,1,0,0.0
-37.821105004185156,144.94224275617853,2025-08-03,2,1,1,1.0
-37.82110352835018,144.94288605521916,2025-08-02,22,1,1,1.0
-37.821101689301244,144.94544773612796,2025-08-03,2,1,1,1.0
-37.82109882550872,144.95167244390558,2025-06-17,12,1,0,0.0
-37.82109206615671,144.94685004085812,2024-12-25,1,1,1,1.0
-37.82107941411776,144.94352789869123,2025-08-03,8,1,1,1.0
-37.82107646203974,144.946243382511,2025-05-20,20,1,0,0.0
